Fecha_Hora,Artista,Tema
11/5/2023 21:02,Sumo,Al Repalazo - En Vivo
11/5/2023 20:58,Sumo,Crua Chan - En Vivo
11/5/2023 20:58,Sumo,Cállate Mark - En Vivo
11/5/2023 20:57,Sumo,Déjame En Paz (Leave Me Alone) - En Vivo
11/5/2023 20:56,Sumo,Noche de Paz
11/5/2023 20:55,Sumo,Noche de Paz
11/5/2023 20:55,Sumo,Mula Plateada
11/5/2023 20:55,Bersuit Vergarabat,Esperando El Impacto
11/5/2023 20:51,Sumo,Cinco Magníficos
11/5/2023 20:51,Sumo,Hola Frank
11/5/2023 20:48,Sumo,El Reggae de Paz y Amor
11/5/2023 20:44,Sumo,El Ojo Blindado
11/5/2023 20:44,Sumo,Mañana en el Abasto
11/5/2023 20:44,Sumo,Divididos por la Felicidad
11/5/2023 20:44,Sumo,Estallando Desde el Océano
11/5/2023 20:42,Sumo,No Tan Distintos
11/5/2023 20:41,Sumo,Warm Mist
11/5/2023 20:41,Sumo,Solo Piano
11/5/2023 20:40,Sumo,Next Week
11/5/2023 20:38,Sumo,Breaking Away
11/5/2023 20:33,Sumo,De Be De
11/5/2023 20:30,Sumo,La Rubia Tarada
11/5/2023 20:30,Sumo,Quiero Dinero
11/5/2023 20:30,Sumo,Teléfonos / White Trash
11/5/2023 20:30,Sumo,Divididos por la Felicidad
11/5/2023 20:30,Sumo,F'you
11/5/2023 20:21,Sumo,Banderitas y Globos
11/5/2023 20:21,Sumo,Mejor No Hablar
11/5/2023 20:20,Sumo,Night & Day
11/5/2023 20:20,Bersuit Vergarabat,Murguita del Sur
11/5/2023 20:19,Agoria,Smoking Mirrors - Parallelle Remix
11/5/2023 20:19,Sule B,Only Bars Vol. 03
11/5/2023 20:19,Sumo,No Tan Distintos
11/5/2023 20:18,Los Auténticos Decadentes,Costumbres Argentinas
11/5/2023 20:15,Divididos,San Saltarín
11/5/2023 20:10,ICM,M?t Tr?i M?t Tr?ng
11/5/2023 03:59,Los Piojos,Todo Pasa
10/5/2023 02:00,Los Caballeros De La Quema,Oxidado
10/5/2023 01:37,Patricio Rey y sus Redonditos de Ricota,Yo Caníbal
10/5/2023 01:37,Intoxicados,Religión
10/5/2023 01:37,Indio Solari,El Que la Seca la Llena
10/5/2023 01:35,Indio Solari,Panasonic y el Mundo a Sus Pies
10/5/2023 01:32,Indio Solari,Ostende Hotel
10/5/2023 01:28,Indio Solari,La Ciudad de los Encandilados
10/5/2023 01:26,Indio Solari,A Bailar Que No Hay Infierno
10/5/2023 01:22,Indio Solari,La Moda No Es Vanguardia
10/5/2023 01:18,Indio Solari,La Pequeña Mamba
10/5/2023 01:14,Indio Solari,Canción para un Terrorista Bonito
10/5/2023 01:10,Indio Solari,El Tío Alberto en el Día de la Bicicleta
10/5/2023 01:06,Indio Solari,El Martillo de las Brujas (Malleus Maleficarum)
10/5/2023 01:03,Indio Solari,Strangerdanger
10/5/2023 01:00,Indio Solari,El Ruiseño
10/5/2023 00:54,Indio Solari,El Callejón de los Milagros
10/5/2023 00:52,Indio Solari,La Oscuridad
10/5/2023 00:48,Indio Solari,Pinturas de Guerra
10/5/2023 00:45,Indio Solari,La Oscuridad
10/5/2023 00:45,Indio Solari,El Ruiseño
10/5/2023 00:45,Indio Solari,Strangerdanger
10/5/2023 00:45,Indio Solari,El Martillo de las Brujas (Malleus Maleficarum)
10/5/2023 00:45,Indio Solari,El Callejón de los Milagros
10/5/2023 00:44,Indio Solari,El Ruiseño
10/5/2023 00:44,Indio Solari,Strangerdanger
10/5/2023 00:44,Indio Solari,El Martillo de las Brujas (Malleus Maleficarum)
10/5/2023 00:44,Indio Solari,El Tío Alberto en el Día de la Bicicleta
10/5/2023 00:44,Indio Solari,El Callejón de los Milagros
10/5/2023 00:41,Indio Solari,La Oscuridad
5/5/2023 01:53,Fito Paez,Zamba Del Cielo
5/5/2023 01:40,Fito Paez,Gracias
5/5/2023 01:36,Fito Paez,Waltz For Marguie
5/5/2023 01:34,Fito Paez,El Verdadero Amar
5/5/2023 01:31,Fito Paez,Mágica Hermosura
5/5/2023 01:29,Fito Paez,Siempre Te Voy a Amar
5/5/2023 01:27,Fito Paez,Cae La Noche En Okinawa
5/5/2023 01:27,Fito Paez,Siempre Te Voy a Amar
5/5/2023 01:27,Fito Paez,Mágica Hermosura
5/5/2023 01:23,Fito Paez,El Cuarto de al Lado
5/5/2023 01:22,Fito Paez,Nocturno En Sol +
5/5/2023 01:19,Fito Paez,Vas Conmigo
5/5/2023 01:15,Fito Paez,Sofi Fue Una Nena De Papá
5/5/2023 01:14,Fito Paez,Si Es Amor
5/5/2023 01:12,Fito Paez,Eso Que Llevas Ahí
4/5/2023 21:09,Fito Paez,Dar Es Dar
4/5/2023 20:56,Fito Paez,Caminando por Rosario
4/5/2023 20:52,Fito Paez,La Casa en las Estrellas
4/5/2023 20:48,Fito Paez,Enloquecer
4/5/2023 20:43,Fito Paez,La Hora del Destino
4/5/2023 20:40,Fito Paez,Intermezzo
4/5/2023 20:39,Fito Paez,Eso Que Llevas Ahí
4/5/2023 20:35,Fito Paez,Fue por Amor
4/5/2023 20:31,Fito Paez,Entrance
4/5/2023 20:28,Fito Paez,Sargent Maravilla
4/5/2023 20:24,Fito Paez,Te Aliviará
4/5/2023 20:19,Fito Paez,Rollinga o Miranda Girl
4/5/2023 20:16,Fito Paez,El Mundo Cabe En Una Canción
3/5/2023 01:57,Fito Paez,A rodar mi vida
3/5/2023 01:46,Fito Paez,Brillante sobre el mic
3/5/2023 01:42,Fito Paez,Detrás del muro de los lamentos
3/5/2023 01:42,Fito Paez,La balada de Donna Helena
3/5/2023 01:37,Fito Paez,Creo
3/5/2023 01:33,Fito Paez,La rueda mágica
3/5/2023 01:29,Fito Paez,Tumbas de la gloria
3/5/2023 01:24,Fito Paez,Un vestido y un amor
3/5/2023 01:21,Fito Paez,Pétalo de sal
3/5/2023 01:21,Fito Paez,Sasha
3/5/2023 01:18,Fito Paez,Hazte fama
3/5/2023 01:18,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos
3/5/2023 01:14,Fito Paez,Los buenos tiempos
3/5/2023 01:13,Fito Paez,Yo te amé en Nicaragua
3/5/2023 01:09,Fito Paez,Fue amor
3/5/2023 01:05,Fito Paez,Tercer mundo
3/5/2023 01:05,Fito Paez,Religion Song
3/5/2023 01:00,Fito Paez,B. Ode y Evelyn
3/5/2023 00:59,Fito Paez,Estoy Atiborrado Con Tu Amor
3/5/2023 00:59,Fito Paez,El chico de la tapa
3/5/2023 00:55,Fito Paez,Pequeño Ángel
3/5/2023 00:55,Fito Paez,Parte Del Aire
3/5/2023 00:55,Fito Paez,Arrecife
3/5/2023 00:55,Fito Paez,Cuando El Arte Ataque
3/5/2023 00:50,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos
3/5/2023 00:49,Fito Paez,Track Track
2/5/2023 20:36,Fito Paez,Bailando Hasta Que Se Vaya La Noche
2/5/2023 20:21,Fito Paez,Dando Vueltas En El Aire
2/5/2023 20:20,Fito Paez,Ambar Violeta
2/5/2023 20:16,Fito Paez,Ciudad De Pobres Corazones
2/5/2023 20:16,Fito Paez,Nada Mas Preciado
2/5/2023 20:15,Fito Paez,Gente Sin Swing
2/5/2023 20:15,Fito Paez,Fuga En Tabu
2/5/2023 20:14,Fito Paez,A Las Piedras De Belen
2/5/2023 20:10,Fito Paez,De Mil Novecientos Veinte
2/5/2023 20:07,Fito Paez,Pompa Bye Bye
2/5/2023 20:06,Fito Paez,Por Siete Vidas
2/5/2023 20:06,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos
2/5/2023 20:02,Fito Paez,Alacran
2/5/2023 19:58,Fito Paez,Dame Un Talisman
2/5/2023 19:55,Fito Paez,Cancion De Amor Mientras Tanto
2/5/2023 19:52,Fito Paez,Polaroid De Locura Ordinaria
2/5/2023 19:49,Fito Paez,Tatuaje Falso
2/5/2023 19:49,Fito Paez,La Ciudad De Los Pibes Sin Calma
2/5/2023 19:44,Fito Paez,Lejos De Berlin
2/5/2023 19:44,Fito Paez,Solo Los Chicos
1/5/2023 05:04,Ciro y los Persas,Luz
1/5/2023 04:50,Fito Paez,Tumbas de la gloria
1/5/2023 00:11,Fito Paez,Tumbas de la gloria
1/5/2023 00:00,Bersuit Vergarabat,Vuelos
1/5/2023 00:00,Patricio Rey y sus Redonditos de Ricota,La Hija del Fletero
1/5/2023 00:00,Kapanga,Miro de Atrás
1/5/2023 00:00,Intoxicados,Se Fue Al Cielo
1/5/2023 00:00,Babasónicos,Fizz
1/5/2023 00:00,Fito Paez,A rodar mi vida
1/5/2023 00:00,Los Caballeros De La Quema,Patri
1/5/2023 00:00,Guasones,Down
29/4/2023 16:36,Fito Paez,A rodar mi vida
29/4/2023 16:19,Patricio Rey y sus Redonditos de Ricota,Salando las Heridas
29/4/2023 16:06,Babasónicos,Los Calientes
29/4/2023 15:53,Bersuit Vergarabat,Esperando El Impacto
29/4/2023 15:37,Bersuit Vergarabat,Esperando El Impacto
29/4/2023 15:17,Sumo,El Ojo Blindado
29/4/2023 15:17,Fito Paez,Dos en la ciudad
29/4/2023 15:17,Viejas Locas,Difícil De Entender
29/4/2023 15:17,Patricio Rey y sus Redonditos de Ricota,Vencedores Vencidos
29/4/2023 15:13,Fito Paez,Por Siete Vidas
29/4/2023 15:09,Fito Paez,Alacran
29/4/2023 15:06,Fito Paez,Dame Un Talisman
29/4/2023 14:31,Fito Paez,Dame Un Talisman
29/4/2023 14:19,Fito Paez,Polaroid De Locura Ordinaria
29/4/2023 14:19,Fito Paez,Cancion De Amor Mientras Tanto
29/4/2023 14:17,Fito Paez,Lejos De Berlin
29/4/2023 14:17,Fito Paez,Tatuaje Falso
29/4/2023 14:17,Fito Paez,Solo Los Chicos
29/4/2023 14:17,Fito Paez,La Ciudad De Los Pibes Sin Calma
29/4/2023 14:14,Fito Paez,Yo Vengo A Ofrecer Mi Corazon
29/4/2023 02:07,Fito Paez,Yo Vengo A Ofrecer Mi Corazon
29/4/2023 01:18,Fito Paez,Yo Vengo A Ofrecer Mi Corazon
29/4/2023 01:18,Fito Paez,Yo Vengo A Ofrecer Mi Corazon
